"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"City Hotel",1,35,2016,"March",13,25,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"Non Refund","12",NULL,0,"Transient","5400",0,0,"Canceled","2016-02-19"
"City Hotel",0,0,2017,"May",19,9,0,1,1,0,0,"BB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","G",0,"No Deposit","159",NULL,0,"Transient","510",0,0,"Check-Out","2017-05-10"
"Resort Hotel",0,1,2015,"July",29,15,0,1,2,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","C",0,"No Deposit",NULL,NULL,0,"Transient","508",1,0,"Check-Out","2015-07-16"
"City Hotel",0,81,2016,"December",53,31,1,1,2,2,0,"BB","PRT","Direct","Direct",0,0,0,"E","E",1,"No Deposit",NULL,NULL,0,"Transient-Party","451.5",0,4,"Check-Out","2017-01-02"
"Resort Hotel",1,378,2017,"August",31,1,4,10,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","314",NULL,0,"Transient","450",0,0,"Canceled","2016-07-22"
"Resort Hotel",1,59,2017,"August",33,13,2,4,2,2,0,"FB","PRT","Direct","Direct",0,0,0,"H","H",1,"No Deposit","250",NULL,0,"Transient","437",0,0,"Canceled","2017-08-03"
"Resort Hotel",0,31,2017,"August",31,1,2,6,2,2,0,"Undefined","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit","250",NULL,0,"Transient","426.25",0,2,"Check-Out","2017-08-09"
"Resort Hotel",0,104,2017,"August",33,17,2,3,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"H","H",2,"No Deposit","240",NULL,0,"Transient","402",0,1,"Check-Out","2017-08-22"
"Resort Hotel",0,26,2017,"July",31,31,3,5,3,2,0,"HB","MAR","Direct","Direct",0,0,0,"H","H",1,"No Deposit","250",NULL,0,"Transient","397.38",0,1,"Check-Out","2017-08-08"
"Resort Hotel",0,24,2017,"August",33,17,0,3,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","392",1,1,"Check-Out","2017-08-20"
"Resort Hotel",1,116,2017,"August",32,9,2,8,2,1,0,"HB","PRT","Direct","Direct",0,0,0,"F","F",3,"No Deposit","250",NULL,0,"Transient","392",0,0,"Canceled","2017-04-17"
"Resort Hotel",0,64,2017,"August",33,16,1,4,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","388",0,2,"Check-Out","2017-08-21"
"Resort Hotel",1,53,2017,"August",33,14,1,2,3,1,0,"HB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","388",0,0,"Canceled","2017-06-22"
"Resort Hotel",0,40,2017,"August",32,7,1,2,2,2,0,"HB","ESP","Direct","Direct",0,0,0,"G","G",1,"No Deposit","250",NULL,0,"Transient","387",0,3,"Check-Out","2017-08-10"
"Resort Hotel",1,95,2016,"December",53,30,0,2,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","384",0,0,"Canceled","2016-09-26"
"Resort Hotel",0,178,2017,"August",35,27,2,5,3,1,0,"FB","PRT","Online TA","TA/TO",0,0,0,"H","H",2,"No Deposit","240",NULL,0,"Transient","383",1,3,"Check-Out","2017-09-03"
"Resort Hotel",0,16,2017,"August",34,22,0,2,3,1,0,"HB","GBR","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","382",1,1,"Check-Out","2017-08-24"
