"arrival_date_month","arrival_date_year","monthly_booking"
"July",2015,"2776"
"August",2015,"3889"
"September",2015,"5114"
"October",2015,"4957"
"November",2015,"2340"
"December",2015,"2920"
"January",2016,"2248"
"February",2016,"3891"
"March",2016,"4824"
"April",2016,"5428"
"May",2016,"5478"
"June",2016,"5292"
"July",2016,"4572"
"August",2016,"5063"
"September",2016,"5394"
"October",2016,"6203"
"November",2016,"4454"
"December",2016,"3860"
"January",2017,"3681"
"February",2017,"4177"
"March",2017,"4970"
"April",2017,"5661"
"May",2017,"6313"
"June",2017,"5647"
"July",2017,"5313"
"August",2017,"4925"
